key,text
projections.calculator.subtitle,Configura los parámetros y obtén proyecciones en tiempo real
projections.calculator.terrenos.label,Número de Terrenos
projections.calculator.superficie.label,Superficie Promedio (m²)
projections.calculator.uf.label,Valor UF
projections.calculator.van.label,Tasa VAN (%)
projections.calculator.calculate,Calcular Proyección
projections.results.title,Resultados de la Proyección
projections.results.van,VAN (Valor Actual Neto)
projections.results.tir,TIR (Tasa Interna de Retorno)
projections.results.payback,Payback (Años)
projections.results.monthly.gross,Ingreso Bruto Mensual
projections.results.monthly.invenor,Utilidad Mensual Invenor
projections.results.monthly.investor,Utilidad Mensual Inversor
projections.results.monthly.net,Flujo Neto Mensual
contact.hero.title,Contacto
contact.hero.subtitle,Ponte en contacto con nosotros para conocer más sobre nuestras oportunidades de inversión
contact.form.title,Envíanos un mensaje
contact.form.name.label,Nombre Completo
contact.form.name.placeholder,Tu nombre completo
contact.form.email.label,Email
contact.form.email.placeholder,tu.email@ejemplo.com
contact.form.company.label,Empresa
contact.form.company.placeholder,Nombre de tu empresa
contact.form.message.label,Mensaje
contact.form.message.placeholder,Cuéntanos sobre tu interés en nuestros proyectos...
contact.form.submit,Enviar Mensaje
contact.form.sending,Enviando...
contact.form.success,Mensaje enviado correctamente
contact.form.error,Error al enviar el mensaje
contact.info.title,Información de Contacto
contact.info.location,Santiago, Chile
contact.info.email,contacto@invenor.cl
contact.info.phone,+56 2 2XXX XXXX
footer.description,Transformando infraestructura en oportunidades de inversión
footer.contact,Contacto
footer.location,Santiago, Chile
footer.email,contacto@invenor.cl
footer.copyright,© 2024 Invenor. Todos los derechos reservados.
common.loading,Cargando...
common.error,Error
common.success,Éxito
common.cancel,Cancelar
common.save,Guardar
common.edit,Editar
common.delete,Eliminar
common.view,Ver
common.back,Volver
common.next,Siguiente
common.previous,Anterior
common.close,Cerrar
